GAL,Uniprot,Annotation
CSF2RB,P32927,stem cell*precursor*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IL2RG,P31785,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*megakaryocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
TNFRSF4,P43489,t cell*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
FLT3,P36888,stem cell*precursor*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TNFRSF9,Q07011,t cell*b cell*macrophage*monocyte*epithelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
F3,P13726,macrophage*monocyte*endothelial cell*epithelial cell
ACE,P12821,macrophage*monocyte*endothelial cell*epithelial cell*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MCAM,P43121,t cell*endothelial cell
CD151,P48509,stem cell*precursor*platelet*endothelial cell*epithelial cell
CTLA4,P16410,t cell*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRAP1,Q12931,t cell
PVR,P15151,macrophage*monocyte
ADAM8,P78325,macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
ADAM17,P78536,t cell*dendritic cell*macrophage*monocyte*granulocyte*endothelial cell
ADAM10,O14672,macrophage*monocyte
BST1,Q10588,dendritic cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*nk cell*cell*t cells
KIR2DL1,P43626,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*cell*granulocyte*t cells*monocyte
KIR2DL2,P43627,t cell*nk cell
KIR2DL3,P43628,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
KIR2DL4,Q99706,nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
KIR2DS5,Q14953,t cell*nk cell
KIR2DS1,Q14954,t cell*nk cell
KIR2DS4,P43632,t cell*nk cell*cell*granulocyte*t cells*monocyte
KIR2DS2,P43631,t cell*nk cell
KIR3DL2,P43630,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD160,O95971,t cell*nk cell*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*cell*granulocyte*t cells*monocyte
CD163,Q86VB7,macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells
CD164,Q04900,t cell*b cell*stem cell*precursor*macrophage*monocyte*epithelial cell*megakaryocyte*dendritic cell
ALCAM,Q13740,t cell*b cell*macrophage*monocyte*endothelial cell*epithelial cell*parathyroid*pituitary*adipose
DDR1,Q08345,b cell*dendritic cell*epithelial cell
HMMR,O75330,dendritic cell*stem cell*precursor*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SIGLEC1,Q9BZZ2,dendritic cell*macrophage*monocyte*nk cell*cell*granulocyte*t cells
SIGLEC5,O15389,b cell*dendritic cell*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
L1CAM,P32004,t cell*b cell*dendritic cell*macrophage*monocyte*granulocyte*endothelial cell*epithelial cell*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SIRPA,P78324,dendritic cell*stem cell*precursor*macrophage*monocyte*granulocyte*megakaryocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*t cells
SIRPB2,Q9P1W8,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
SIRPG,Q9P1W8,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
FUT1,P19526,stem cell*precursor*erythrocyte*endothelial cell*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
FUT3,P21217,stem cell*precursor*epithelial cell*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD177,Q8N6Q3,granulocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
VPREB1,P12018,b cell*dendritic cell*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD180,Q99467,b cell*dendritic cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells
IL8RB,P25025,t cell*macrophage*monocyte*granulocyte
CXCR3,P49682,t cell*nk cell*stem cell*precursor*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*cell*t cells*monocyte
CXCR4,P61073,t cell*b cell*dendritic cell*macrophage*monocyte*granulocyte*endothelial cell*megakaryocyte*nk t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
BLR1,P32302,t cell*b cell*dendritic cell*nk cell
CXCR6,O00574,t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CCR1,P32246,t cell*stem cell*precursor*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells
CCR2,P41597,t cell*b cell*dendritic cell*macrophage*monocyte*granulocyte*endothelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*t cells
CCR3,P51677,t cell*granulocyte*epithelial cell*skeletal*gallbladder*parathyroid*pituitary*adipose
CCR4,P51679,t cell*macrophage*monocyte*platelet*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
CCR5,P51681,t cell*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
CCR6,O00421,t cell*b cell*dendritic cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CCR8,P51685,t cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CCR9,P51686,t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD200,P41217,b cell*dendritic cell*stem cell*precursor*endothelial cell*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PROCR,Q9UNN8,stem cell*precursor*endothelial cell*adipose
TEK,Q02763,endothelial cell*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ENPP3,O14638,stem cell*precursor*granulocyte*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MSR1,P21757,macrophage*monocyte*lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LY75,O60449,t cell*b cell*dendritic cell*stem cell*precursor*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD207,Q9UJ71,dendritic cell*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD209,Q9NNX6,dendritic cell*macrophage*monocyte*endothelial cell*adipose*nk cell*cell*granulocyte*t cells
IL12B,P29460,t cell*b cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*dendritic cell*erythroid cell*kupffer*macrophage*cell*granulocyte*t cells*monocyte
IGF1R,P08069,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell*epithelial cell
LAG3,P18627,t cell*nk cell*stem cell*precursor*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD226,Q15762,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*platelet*parathyroid*pituitary*adipose*t cells
MUC1,P15941,t cell*b cell*dendritic cell*stem cell*precursor*macrophage*monocyte*epithelial cell*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MTF1,Q01538,stem cell*precursor*endothelial cell*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
PRNP,F7VJQ1,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell*epithelial cell*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GYPC,P04921,stem cell*precursor*erythrocyte*dendritic cell*nk t cell*t cell cd4*t cell cd8*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
BCAM,P50895,stem cell*precursor*erythrocyte*endothelial cell*epithelial cell*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RHAG,Q02094,stem cell*precursor*erythrocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
ICAM4,Q14773,erythrocyte*endothelial cell*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
PGP,A6NDG6,stem cell*precursor*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD244,Q9BZW8,t cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ALK,Q9UM73,t cell*endothelial cell*pituitary*adipose
CD247,P20963,t cell*nk cell*dendritic cell*nk t cell*t cell cd4*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD248,Q9HCU0,endothelial cell*adipose
ENPEP,Q07075,endothelial cell*epithelial cell*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNFSF10,P50591,t cell*b cell*macrophage*monocyte
TNFSF11,O14788,t cell*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
TNFSF13,O75888,t cell*dendritic cell*macrophage*monocyte*granulocyte*megakaryocyte*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*t cells
TNFSF13B,Q9Y275,t cell*b cell*dendritic cell*nk cell*macrophage*monocyte*granulocyte*megakaryocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNFSF14,O43557,t cell*b cell*dendritic cell*macrophage*monocyte*granulocyte*adipose*t cells
TNFRSF10A,O00220,t cell*b cell*nk cell*macrophage*monocyte*granulocyte
TNFRSF10B,O14763,t cell*b cell*nk cell*macrophage*monocyte*granulocyte
TNFRSF10C,O14798,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*hofbauer*plasma cell*dendritic cell*erythroid cell*kupffer*cell*t cells
TNFRSF11A,Q9Y6Q6,t cell*dendritic cell*macrophage*monocyte*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNFRSF12A,Q9NP84,endothelial cell
TNFRSF13B,O14836,t cell*b cell*macrophage*monocyte*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
TNFRSF13C,Q96RJ3,t cell*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TNFRSF17,Q02223,b cell*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TNFRSF14,Q92956,t cell*b cell*dendritic cell*nk cell*macrophage*monocyte*granulocyte
NGFR,P08138,dendritic cell
BTLA,Q7Z6A9,t cell*b cell*dendritic cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
